title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description
Maniac Magee,Jerry Spinelli,https://www.goodreads.com/book/show/139463.Maniac_Magee,Maniac Magee,Jerry Spinelli,https://covers.openlibrary.org/b/id/10134677-L.jpg,https://openlibrary.org/works/OL77104W,"Jeffrey Lionel ""Maniac"" Magee might have lived a normal life if a freak accident hadn't made him an orphan. After living with his unhappy and uptight aunt and uncle for eight years, he decides to run--and not just run away, but run. This is where the myth of Maniac Magee begins, as he changes the lives of a racially divided small town with his amazing and legendary feats."
The Hat,Jan Brett,https://www.goodreads.com/book/show/196951.The_Hat,The Hat,Jan Brett,https://covers.openlibrary.org/b/id/259667-L.jpg,https://openlibrary.org/works/OL13928W,"When Lisa hangs her woolen clothes in the sun to air them out for winter, the hedgehog, to the amusement of the other animals, ends up wearing a stocking on his head."
The Adventures of Huckleberry Finn,Mark Twain,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,Mark Twain,,https://openlibrary.org/works/OL37513138W,
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,https://www.goodreads.com/book/show/77276.A_Swiftly_Tilting_Planet,A Swiftly Tilting Planet (Time Quintet #3),Madeleine L'Engle,https://covers.openlibrary.org/b/id/8223424-L.jpg,https://openlibrary.org/works/OL41492W,"The Murry and OKeefe families enlist the help of the unicorn, Gaudior, to save the world from imminent nuclear war. In this companion volume to A Wrinkle In  Time (Newbery Award winner) and A Wind In The Door, fifteen-year-old  Charles Wallace and the unicorn Gaudior undertake a perilous journey through time in a desperate attempt to stop the destruction of the world by the  mad dictator Madog Branzillo. They are not alone in  their quest. Charles Wallace's sister, Meg -- grown and expecting her first child, but still able to enter her brother's thoughts and emotions by ""kything"" -- goes with him in spirit. But in overcoming the challenges, Charles Wallace must face the ultimate test of his faith and  will, as he is sent within four people from  another time, there to search for a way to avert the  tragedy threatening them all. - Publisher."
The Owl and the Pussycat,Edward Lear,https://www.goodreads.com/book/show/716946.The_Owl_and_the_Pussycat,Owl and the pussy-cat,Edward Lear,https://covers.openlibrary.org/b/id/1536152-L.jpg,https://openlibrary.org/works/OL937391W,"After a courtship voyage of a year and a day, Owl and Pussy finally buy a ring from Piggy and are blissfully married."
Fetch,Adam Glendon Sidwell,https://www.goodreads.com/book/show/22022641-fetch,Fetch,Adam Glendon Sidwell,,https://openlibrary.org/works/OL21092052W,
The Magic of Maxwell and His Tail,Maureen Stolar Kanefield,https://www.goodreads.com/book/show/22706552-the-magic-of-maxwell-and-his-tail,The Magic of Maxwell and His Tail,Maureen Stolar Kanefield,https://covers.openlibrary.org/b/id/14312892-L.jpg,https://openlibrary.org/works/OL33678160W,
"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",Jonathan Auxier,https://www.goodreads.com/book/show/10806008-peter-nimble-and-his-fantastic-eyes,Peter Nimble and His Fantastic Eyes (Peter Nimble #1),Jonathan Auxier,https://covers.openlibrary.org/b/id/6917173-L.jpg,https://openlibrary.org/works/OL16091698W,"*Peter Nimble and His Fantastic Eyes* is the utterly beguiling tale of a ten-year-old blind orphan who has been schooled in a life of thievery. One fateful afternoon, he steals a box from a mysterious traveling haberdasher—a box that contains three pairs of magical eyes. When he tries the first pair, he is instantly transported to a hidden island where he is presented with a special quest: to travel to the dangerous Vanished Kingdom and rescue a people in need. Along with his loyal sidekick—a knight who has been turned into an unfortunate combination of horse and cat—and the magic eyes, he embarks on an unforgettable, swashbuckling adventure to discover his true destiny.

The companion book is called ""Sophie Quire and the Last Storyguard."""
"Blue Hat, Green Hat",Sandra Boynton,https://www.goodreads.com/book/show/252268.Blue_Hat_Green_Hat,"Blue hat, green hat",Sandra Boynton,https://covers.openlibrary.org/b/id/438047-L.jpg,https://openlibrary.org/works/OL1738440W,Humorous animal characters introduce the basic colors and familiar items of clothing. On board pages.
The Empty Pot,Demi,https://www.goodreads.com/book/show/332575.The_Empty_Pot,The Empty Pot,Demi,https://covers.openlibrary.org/b/id/1316265-L.jpg,https://openlibrary.org/works/OL103647W,Ping's courage and honesty reward him King's throne.
It Looked Like Spilt Milk,Charles G. Shaw,https://www.goodreads.com/book/show/820274.It_Looked_Like_Spilt_Milk,It Looked Like Spilt Milk,Charles G. Shaw,https://covers.openlibrary.org/b/id/50834-L.jpg,https://openlibrary.org/works/OL4243000W,
Terry Treetop Finds New Friends (The Terry Treetop Series),Tali Carmi,https://www.goodreads.com/book/show/19332307-terry-treetop-finds-new-friends,Terry Treetop Finds New Friends,Tali Carmi,,https://openlibrary.org/works/OL39846000W,
Sector 7,David Wiesner,https://www.goodreads.com/book/show/29313.Sector_7,Sector 7,David Wiesner,https://covers.openlibrary.org/b/id/256731-L.jpg,https://openlibrary.org/works/OL2971044W,"Beginning with a school trip to the Empire State Building, a boy makes friends with a mischievous little cloud, who whisks him away to the Cloud Dispatch Center for Sector 7 (the region that includes New York City). The clouds are bored with their everyday shapes, so the boy obligingly starts to sketch some new ones. . . ."
Snuggle Puppy!,Sandra Boynton,https://www.goodreads.com/book/show/117140.Snuggle_Puppy_,Snuggle Puppy!,Sandra Boynton,,https://openlibrary.org/works/OL31130077W,
Where Is My Home?,Tali Carmi,https://www.goodreads.com/book/show/18914978-where-is-my-home,Where Is My Home?,Tali Carmi,,https://openlibrary.org/works/OL40843480W,
