title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
"Stargirl (Stargirl, #1)",Jerry Spinelli,https://www.goodreads.com/book/show/22232.Stargirl,Stargirl,Jerry Spinelli,https://covers.openlibrary.org/b/id/14860109-L.jpg,https://openlibrary.org/works/OL77100W
Around the World in Eighty Days,Jules Verne,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days,Around the World in Eighty Days,Jules Verne,https://covers.openlibrary.org/b/id/11531296-L.jpg,https://openlibrary.org/works/OL24776232W
"The War That Saved My Life (The War That Saved My Life, #1)",Kimberly Brubaker Bradley,https://www.goodreads.com/book/show/20912424-the-war-that-saved-my-life,The war that Saved my Life,Kimberly Brubaker Bradley,https://covers.openlibrary.org/b/id/7410332-L.jpg,https://openlibrary.org/works/OL17332150W
A Day in the Life of Marlon Bundo,Jill Twiss,https://www.goodreads.com/book/show/39319227-a-day-in-the-life-of-marlon-bundo,A Day in the Life of Marlon Bundo,Jill Twiss,https://covers.openlibrary.org/b/id/8315562-L.jpg,https://openlibrary.org/works/OL18147894W
The Maggie B.,Irene Haas,https://www.goodreads.com/book/show/682747.The_Maggie_B_,The Maggie B,Irene Haas,https://covers.openlibrary.org/b/id/434511-L.jpg,https://openlibrary.org/works/OL3266419W
"Comet in Moominland (The Moomins, #2)",Tove Jansson,https://www.goodreads.com/book/show/1003725.Comet_in_Moominland,Comet in Moominland,Tove Jansson,,https://openlibrary.org/works/OL41872603W
"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott,https://www.goodreads.com/book/show/14570.Eight_Cousins,Eight cousins,Louisa May Alcott,https://covers.openlibrary.org/b/id/8143360-L.jpg,https://openlibrary.org/works/OL17846238W
The Old Woman Who Named Things,Cynthia Rylant,https://www.goodreads.com/book/show/224378.The_Old_Woman_Who_Named_Things,The Old Woman Who Named Things,Cynthia Rylant,https://covers.openlibrary.org/b/id/114449-L.jpg,https://openlibrary.org/works/OL64160W
Do Princesses Wear Hiking Boots?,Carmela LaVigna Coyle,https://www.goodreads.com/book/show/220289.Do_Princesses_Wear_Hiking_Boots_,Do princesses wear hiking boots?,Carmela LaVigna Coyle,https://covers.openlibrary.org/b/id/664757-L.jpg,https://openlibrary.org/works/OL5714466W
"The Worst Witch (Worst Witch, #1)",Jill Murphy,https://www.goodreads.com/book/show/351023.The_Worst_Witch,The Worst Witch (The Worst Witch #1),Jill Murphy,https://covers.openlibrary.org/b/id/108838-L.jpg,https://openlibrary.org/works/OL496118W
The House in the Night,Susan Marie Swanson,https://www.goodreads.com/book/show/2769817-the-house-in-the-night,The house in the night,Susan Marie Swanson,https://covers.openlibrary.org/b/id/10415999-L.jpg,https://openlibrary.org/works/OL2712229W
Today I Feel Silly & and Other Moods That Make My Day,Jamie Lee Curtis,https://www.goodreads.com/book/show/8768.Today_I_Feel_Silly_and_Other_Moods_That_Make_My_Day,,,,
"Second Form at Malory Towers (Malory Towers, #2)",Enid Blyton,https://www.goodreads.com/book/show/848878.Second_Form_at_Malory_Towers,Second Form at Malory Towers,Enid Blyton,https://covers.openlibrary.org/b/id/14603046-L.jpg,https://openlibrary.org/works/OL1948396W
"Night of the Living Dummy (Goosebumps, #7)",R.L. Stine,https://www.goodreads.com/book/show/125564.Night_of_the_Living_Dummy,Night of the Living Dummy,Robert Lawrence Stine,https://covers.openlibrary.org/b/id/5092182-L.jpg,https://openlibrary.org/works/OL72425W
"A Long Way from Chicago (A Long Way from Chicago, #1)",Richard Peck,https://www.goodreads.com/book/show/39963.A_Long_Way_from_Chicago,A Long Way from Chicago,Richard Peck,https://covers.openlibrary.org/b/id/5439199-L.jpg,https://openlibrary.org/works/OL55377W
Nana Upstairs and Nana Downstairs,Tomie dePaola,https://www.goodreads.com/book/show/98407.Nana_Upstairs_and_Nana_Downstairs,Nana Upstairs and Nana Downstairs,Tomie dePaola,,https://openlibrary.org/works/OL34693568W
The Incredible Adventures of Professor Branestawm,Norman Hunter,https://www.goodreads.com/book/show/155618.The_Incredible_Adventures_of_Professor_Branestawm,The Incredible Adventure of Professor Branestawm,Norman Hunter,https://covers.openlibrary.org/b/id/11955379-L.jpg,https://openlibrary.org/works/OL5581549W
Favole al telefono,Gianni Rodari,https://www.goodreads.com/book/show/1244452.Favole_al_telefono,Favole al telefono,Gianni Rodari,https://covers.openlibrary.org/b/id/9447803-L.jpg,https://openlibrary.org/works/OL2284481W
